Cluster,DESeq2 (tot),Limma (tot),EdgeR (tot),DESeq2 Only,Limma Only,EdgeR Only,DESeq2 & Limma,DESeq2 & EdgeR,Limma & EdgeR,All Methods
L2_3_IT,73,285,567,1,35,285,0,32,210,40
L6,22,106,276,0,11,178,0,3,76,19
Sst,3,25,57,0,4,36,0,0,18,3
L5,50,250,495,0,17,257,0,5,188,45
L4,11,67,95,0,14,42,0,0,42,11
Pvalb,4,15,40,0,3,28,0,0,8,4
Sncg,0,0,0,0,0,0,0,0,0,0
Non-neuronal,3,4,25,2,1,21,0,1,3,0
Oligo,0,2,7,0,1,6,0,0,1,0
Vip,6,20,110,4,5,95,0,0,13,2
Lamp5,11,12,65,3,4,50,0,7,7,1
Astro,0,0,20,0,0,20,0,0,0,0
Peri,1,0,0,1,0,0,0,0,0,0
Endo,0,0,2,0,0,2,0,0,0,0
