"","SYMBOL","FC","logFC","P.Value","adj.P.Val","AveExpr","t","B","Cell_Type"
"1","Gsdme",-1.25340941223321,-0.325857731916165,1.50534773156722e-06,0.0113187095936539,7.44768405021059,-4.89564728602811,4.61242202286607,"L2_3_IT"
"2","Senp3",-1.74792699721418,-0.805644931430946,2.5627971168969e-06,0.0190543965641284,7.66566021918383,-4.9566837009508,4.27311822443493,"L4"
"3","Ppp2r5c",-1.72815119447945,-0.789229443186295,3.13592196933115e-05,0.0466311596839542,7.85226315866157,-4.33979373416014,1.9348841991792,"L4"
"4","Gigyf1",-1.57680287016691,-0.657002307554282,1.81518629697665e-05,0.0449863670600712,7.62915588280779,-4.4788241149952,2.61946143660566,"L4"
"5","Whrn",-1.57253402892884,-0.653091236713918,1.17967721569246e-05,0.0438545004933673,7.70695094799968,-4.58655915677593,2.91442098076288,"L4"
"6","Plcb4",-1.44053802688172,-0.526607744822373,3.06654963208092e-05,0.0466311596839542,7.50254555694793,-4.34553655495654,2.22339683817183,"L4"
"7","Tmem63c",1.4518570736933,0.537899435962411,5.33798077623277e-07,0.00401469534180467,7.82585159010258,5.12208771165614,4.72457369706995,"L5"
"8","Ppfibp1",1.31909504647404,0.399548520720228,9.12877129241275e-06,0.021746015757471,7.64968762983244,4.51243604296319,2.75610692440485,"L5"
"9","Pdgfa",1.25545061918306,0.328205283997085,1.15654916939082e-05,0.021746015757471,7.51076972210439,4.45868698333901,2.71730470541778,"L5"
"10","Crispld1",-1.23315999487441,-0.302359992633895,9.45195932918122e-06,0.021746015757471,7.35853080834763,-4.50456437006953,3.07511488602486,"L5"
"11","Tuba1a",-2.17915406110044,-1.12376819522788,6.92840702412569e-06,0.0467598190058243,8.51370508514232,-5.10120618085301,2.21164563582667,"Oligo"
"12","Hap1",-5.0107749701182,-2.32503374894604,1.48329114018131e-05,0.0164082414341806,8.008007150715,-5.18012211575041,2.88165754255998,"Sncg"
"13","Igsf11",-4.95563679117189,-2.30907045326198,1.71402740629837e-05,0.0164082414341806,7.87670474645832,-5.12842584943794,2.74661622983718,"Sncg"
"14","Mib1",-4.95563679117189,-2.30907045326198,1.71402740629837e-05,0.0164082414341806,7.87670474645832,-5.12842584943794,2.74661622983718,"Sncg"
"15","Dusp11",-4.81222096692231,-2.26670288951396,2.5029663729501e-05,0.0187333127646577,8.36163070286822,-4.99304763363693,2.43921891175799,"Sncg"
"16","Nphp3",-4.65748823862974,-2.21955212599097,3.44341792464363e-05,0.0193290526169996,7.98043523176273,-4.87894811260384,2.14759762183887,"Sncg"
"17","Hcfc1r1",-4.65748823862974,-2.21955212599097,3.44341792464363e-05,0.0193290526169996,7.98043523176273,-4.87894811260384,2.14759762183887,"Sncg"
"18","Ndufa10",-4.60038665620184,-2.20175512280921,0.000138792585379773,0.0442402454457161,8.22801569107289,-4.37835179350269,0.973835999223362,"Sncg"
"19","Cxxc4",-4.45684294189051,-2.15602212160839,8.14805594721222e-05,0.0343033155377635,8.1653625366223,-4.57018845204913,1.41524522442142,"Sncg"
"20","Ssbp3",-4.45160839238894,-2.15432668450199,0.000103044776622313,0.037452891704388,8.03559116199571,-4.48573144454614,1.21265287428474,"Sncg"
"21","1110008P14Rik",-4.24449473306877,-2.08559282480744,0.000105642063893018,0.037452891704388,8.10482063240924,-4.47676772097765,1.18341486902028,"Sncg"
"22","Cacnb2",3.63042369967464,1.86013793217364,1.0969611375317e-05,0.0164082414341806,8.97560510985493,5.28803409277267,3.36331828567485,"Sncg"
"23","Serinc1",3.47776845448275,1.79816188299254,1.64221416082012e-05,0.0164082414341806,8.87865245967222,5.14372881828568,2.99150648477865,"Sncg"
"24","Kif5c",3.45373737210536,1.78815838212375,1.54648338479001e-05,0.0164082414341806,8.86596529827222,5.16520421681429,3.04555041344135,"Sncg"
"25","Scg2",3.35748481164372,1.74738087330399,4.43514253390377e-05,0.0229808616218275,8.85290972024578,4.78834888048729,2.08697824844819,"Sncg"
"26","Adam22",3.3492121114251,1.74382174732285,1.94872226059152e-05,0.0164082414341806,8.83273937926481,5.08254429022343,2.8340634243245,"Sncg"
"27","Pacsin1",3.33947286055887,1.73962038968214,1.77748263781046e-05,0.0164082414341806,8.8716610432593,5.11542857300242,2.91923909255278,"Sncg"
"28","Sptan1",3.19243470735507,1.67465711379227,6.81954644810318e-05,0.0328117606245879,8.80084074957107,4.63411092239455,1.69493699431501,"Sncg"
"29","Sltm",3.15603433604161,1.65811290122193,3.4377763256869e-05,0.0193290526169996,8.7632721690331,4.87953483547782,2.3162534070316,"Sncg"
"30","Tmem191c",3.10101834539366,1.63274206085223,7.36214501308301e-05,0.0330609392054181,8.75929726677703,4.60662510985897,1.62489284990768,"Sncg"
"31","Elmod1",3.0879375746482,1.62664358756202,0.000160005893272621,0.0468608563949728,8.72706002512674,4.32695292843459,0.920454370723447,"Sncg"
"32","Kif5a",2.99585062244525,1.58296569067581,0.000144490112797766,0.0442402454457161,8.72866427995852,4.36382160032717,1.01293207126476,"Sncg"
"33","Rasgrf1",2.99488249333661,1.58249939880496,9.36204881921653e-05,0.0370957416742603,8.72031582594605,4.52025121085385,1.40644975473948,"Sncg"
"34","Ablim1",2.96458688850208,1.56783108101649,0.000123138097478938,0.0414729112309065,8.70795953073415,4.42153864925843,1.15788454398882,"Sncg"
"35","Yipf6",-1.55670713777839,-0.638497556738317,2.11459792977953e-05,0.0474231453010209,7.73649013496734,-4.40296149367551,2.45993203316758,"Sst"
"36","Eya4",-1.51935054526244,-0.603454767513549,1.10639230452939e-05,0.0474231453010209,7.71967159610371,-4.56122839962458,3.0187511459117,"Sst"
"37","C1ql3",-1.49857972240436,-0.583595835308304,2.53871227521525e-05,0.0474231453010209,7.56399146396488,-4.35760770321903,2.36740373872377,"Sst"
"38","Tmem168",-1.37352778647582,-0.457886096438798,1.89982529696787e-05,0.0474231453010209,7.67284213446046,-4.42938993970166,2.57334350047491,"Sst"
